"COUNTRY","MMWR_WEEK_START","NEW_CONF_CASES","NEW_SUS_DEATHS","NEW_SUS_CASES","EPI_WEEK","EPI_YEAR"
"Bangladesh",2023-09-17,0,0,0,2023,38
"Bangladesh",2023-09-24,0,0,0,2023,39
"Bangladesh",2023-10-01,0,0,0,2023,40
"Bangladesh",2023-10-08,0,0,0,2023,41
"Bangladesh",2023-10-15,0,0,0,2023,42
"Bangladesh",2023-10-22,0,0,0,2023,43
"Bangladesh",2023-10-29,0,0,0,2023,44
"Bangladesh",2023-11-05,0,0,0,2023,45
"Bangladesh",2023-11-12,0,0,0,2023,46
"Bangladesh",2023-11-19,0,0,0,2023,47
"Bangladesh",2023-11-26,0,0,0,2023,48
"Bangladesh",2023-12-03,0,0,0,2023,49
"Bangladesh",2023-12-10,0,0,0,2023,50
"Bangladesh",2023-12-17,0,0,0,2023,51
"Bangladesh",2023-12-24,0,0,0,2023,52
"Bangladesh",2023-12-31,0,0,0,2024,1
"Bangladesh",2024-01-07,0,0,0,2024,2
"Bangladesh",2024-01-14,0,0,0,2024,3
"Bangladesh",2024-01-21,0,0,0,2024,4
"Bangladesh",2024-01-28,0,0,0,2024,5
"Bangladesh",2024-02-04,0,0,0,2024,6
"Bangladesh",2024-02-11,0,0,0,2024,7
"Bangladesh",2024-02-18,0,0,0,2024,8
"Bangladesh",2024-02-25,0,0,0,2024,9
"Bangladesh",2024-03-03,0,0,0,2024,10
"Bangladesh",2024-03-10,0,0,0,2024,11
"Bangladesh",2024-03-17,0,0,0,2024,12
"Bangladesh",2024-03-24,0,0,0,2024,13
"Bangladesh",2024-03-31,0,0,0,2024,14
"Bangladesh",2024-04-07,0,0,0,2024,15
"Bangladesh",2024-04-14,0,0,0,2024,16
"Bangladesh",2024-04-21,0,0,0,2024,17
"Bangladesh",2024-04-28,0,0,0,2024,18
"Bangladesh",2024-05-05,0,0,0,2024,19
"Bangladesh",2024-05-12,0,0,0,2024,20
"Bangladesh",2024-05-19,0,0,0,2024,21
"Bangladesh",2024-05-26,0,0,0,2024,22
"Bangladesh",2024-06-02,0,0,0,2024,23
"Bangladesh",2024-06-09,0,0,0,2024,24
"Bangladesh",2024-06-16,0,0,0,2024,25
"Bangladesh",2024-06-23,0,0,0,2024,26
"Bangladesh",2024-06-30,0,0,0,2024,27
"Bangladesh",2024-07-07,0,0,0,2024,28
"Bangladesh",2024-07-14,0,0,0,2024,29
"Bangladesh",2024-07-21,0,0,0,2024,30
"Bangladesh",2024-07-28,0,0,0,2024,31
"Bangladesh",2024-08-04,0,0,0,2024,32
"Bangladesh",2024-08-11,0,0,0,2024,33
"Bangladesh",2024-08-18,0,0,0,2024,34
"Bangladesh",2024-08-25,0,0,0,2024,35
"Bangladesh",2024-09-01,0,0,0,2024,36
"Bangladesh",2024-09-08,0,0,0,2024,37
"Bangladesh",2024-09-15,0,0,0,2024,38
"Bangladesh",2024-09-22,0,0,0,2024,39
"Bangladesh",2024-09-29,0,0,0,2024,40
"Bangladesh",2024-10-06,0,0,0,2024,41
"Bangladesh",2024-10-13,0,0,0,2024,42
"Bangladesh",2024-10-20,0,0,0,2024,43
"Bangladesh",2024-10-27,0,0,0,2024,44
"Bangladesh",2024-11-03,0,0,0,2024,45
"Bangladesh",2024-11-10,0,0,0,2024,46
"Bangladesh",2024-11-17,0,0,0,2024,47
"Bangladesh",2024-11-24,0,0,0,2024,48
"Bangladesh",2024-12-01,0,0,0,2024,49
"Bangladesh",2024-12-08,0,0,0,2024,50
"Bangladesh",2024-12-15,0,0,0,2024,51
"Bangladesh",2024-12-22,0,0,0,2024,52
"Bangladesh",2024-12-29,0,0,0,2025,1
"Bangladesh",2025-01-05,0,0,0,2025,2
"Bangladesh",2025-01-12,0,0,0,2025,3
"Bangladesh",2025-01-19,0,0,0,2025,4
"Bangladesh",2025-01-26,0,0,0,2025,5
"Bangladesh",2025-02-02,0,0,0,2025,6
"Bangladesh",2025-02-09,0,0,0,2025,7
"Bangladesh",2025-02-16,0,0,0,2025,8
"Bangladesh",2025-02-23,0,0,0,2025,9
"India",2023-01-22,0,0,6,2023,4
"India",2023-01-29,0,0,0,2023,5
"India",2023-02-05,0,0,0,2023,6
"India",2023-02-12,0,0,0,2023,7
"India",2023-02-19,0,0,0,2023,8
"India",2023-02-26,0,0,52,2023,9
"India",2023-03-05,0,0,0,2023,10
"India",2023-03-12,0,0,0,2023,11
"India",2023-03-19,0,0,0,2023,12
"India",2023-03-26,0,0,0,2023,13
"India",2023-04-02,0,0,10,2023,14
"India",2023-04-09,0,0,0,2023,15
"India",2023-04-16,0,0,0,2023,16
"India",2023-04-23,0,0,0,2023,17
"India",2023-04-30,0,0,0,2023,18
"India",2023-05-07,0,0,0,2023,19
"India",2023-05-14,0,0,71,2023,20
"India",2023-05-21,0,0,61,2023,21
"India",2023-05-28,0,0,133,2023,22
"India",2023-06-04,0,1,198,2023,23
"India",2023-06-11,0,0,150,2023,24
"India",2023-06-18,0,0,289,2023,25
"India",2023-06-25,0,0,0,2023,26
"India",2023-07-02,0,0,0,2023,27
"India",2023-07-09,0,0,267,2023,28
"India",2023-07-16,0,0,131,2023,29
"India",2023-07-23,0,0,0,2023,30
"India",2023-07-30,0,0,307,2023,31
"India",2023-08-06,0,0,78,2023,32
"India",2023-08-13,0,0,0,2023,33
"India",2023-08-20,0,0,16,2023,34
"India",2023-08-27,0,0,40,2023,35
"India",2023-09-03,0,0,0,2023,36
"India",2023-09-10,0,1,57,2023,37
"India",2023-09-17,0,0,95,2023,38
"India",2023-09-24,0,1,68,2023,39
"India",2023-10-01,0,0,15,2023,40
"India",2023-10-08,0,0,0,2023,41
"India",2023-10-15,0,0,0,2023,42
"India",2023-10-22,0,0,0,2023,43
"India",2023-10-29,0,0,0,2023,44
"India",2023-11-05,0,0,0,2023,45
"India",2023-11-12,0,0,0,2023,46
"India",2023-11-19,0,0,0,2023,47
"India",2023-11-26,0,0,0,2023,48
"India",2023-12-03,0,0,4,2023,49
"India",2023-12-10,0,0,0,2023,50
"India",2023-12-17,1,10,3387,2023,51
"India",2023-12-24,0,0,0,2023,52
"India",2023-12-31,14,2,184,2024,1
"India",2024-01-07,4,0,78,2024,2
"India",2024-01-14,0,0,0,2024,3
"India",2024-01-21,0,0,0,2024,4
"India",2024-01-28,4,0,254,2024,5
"India",2024-02-04,0,0,0,2024,6
"India",2024-02-11,0,0,0,2024,7
"India",2024-02-18,10,0,30,2024,8
"India",2024-02-25,2,0,430,2024,9
"India",2024-03-03,6,0,138,2024,10
"India",2024-03-10,8,2,702,2024,11
"India",2024-03-17,18,0,306,2024,12
"India",2024-03-24,20,0,156,2024,13
"India",2024-03-31,0,0,0,2024,14
"India",2024-04-07,10,2,90,2024,15
"India",2024-04-14,0,2,94,2024,16
"India",2024-04-21,4,0,78,2024,17
"India",2024-04-28,16,0,882,2024,18
"India",2024-05-05,38,4,302,2024,19
"India",2024-05-12,2,0,122,2024,20
"India",2024-05-19,6,0,444,2024,21
"India",2024-05-26,58,4,2124,2024,22
"India",2024-06-02,30,0,946,2024,23
"India",2024-06-09,40,6,760,2024,24
"India",2024-06-16,102,6,1632,2024,25
"India",2024-06-23,36,18,798,2024,26
"India",2024-06-30,30,0,458,2024,27
"India",2024-07-07,24,20,850,2024,28
"India",2024-07-14,42,2,630,2024,29
"India",2024-07-21,54,6,1574,2024,30
"India",2024-07-28,46,6,720,2024,31
"India",2024-08-04,46,6,1628,2024,32
"India",2024-08-11,20,0,968,2024,33
"India",2024-08-18,26,0,378,2024,34
"India",2024-08-25,62,14,848,2024,35
"India",2024-09-01,26,0,480,2024,36
"India",2024-09-08,22,0,286,2024,37
"India",2024-09-15,78,0,488,2024,38
"India",2024-09-22,14,2,48,2024,39
