"COUNTRY_AREA_TERRITORY","MMWR_WEEKSTARTDATE","pos_rate","Flu_Type","Cases","Label","Color"
"All Country",2025-04-13,8.15,"flu_anot",1,"A not Subtyped","#104f82"
"All Country",2025-04-13,8.15,"flu_bnot",0,"B not Determined","#9c4b30"
"All Country",2025-04-20,9.35,"flu_ah1",0,"A(H1)","#C9C9C9"
"All Country",2025-04-20,9.35,"flu_ah3",46,"A(H3)","#00A1D5"
"All Country",2025-04-20,9.35,"flu_ah5",1,"A(H5)","#74F907"
"All Country",2025-04-20,9.35,"flu_ah1n12009",43,"A(H1N1)pdm2009","#8FE6E7"
"All Country",2025-04-20,9.35,"flu_byam",0,"B Yamagata","#FFB86D"
"All Country",2025-04-20,9.35,"flu_vic",51,"B Victoria","#F79700"
"All Country",2025-04-20,9.35,"flu_anot",1,"A not Subtyped","#104f82"
"All Country",2025-04-20,9.35,"flu_bnot",4,"B not Determined","#9c4b30"
"All Country",2025-04-27,11.38,"flu_ah1",0,"A(H1)","#C9C9C9"
"All Country",2025-04-27,11.38,"flu_ah3",37,"A(H3)","#00A1D5"
"All Country",2025-04-27,11.38,"flu_ah5",0,"A(H5)","#74F907"
"All Country",2025-04-27,11.38,"flu_ah1n12009",47,"A(H1N1)pdm2009","#8FE6E7"
"All Country",2025-04-27,11.38,"flu_byam",0,"B Yamagata","#FFB86D"
"All Country",2025-04-27,11.38,"flu_vic",70,"B Victoria","#F79700"
"All Country",2025-04-27,11.38,"flu_anot",13,"A not Subtyped","#104f82"
"All Country",2025-04-27,11.38,"flu_bnot",1,"B not Determined","#9c4b30"
"All Country",2025-05-04,8,"flu_ah1",0,"A(H1)","#C9C9C9"
"All Country",2025-05-04,8,"flu_ah3",32,"A(H3)","#00A1D5"
"All Country",2025-05-04,8,"flu_ah5",0,"A(H5)","#74F907"
"All Country",2025-05-04,8,"flu_ah1n12009",47,"A(H1N1)pdm2009","#8FE6E7"
"All Country",2025-05-04,8,"flu_byam",0,"B Yamagata","#FFB86D"
"All Country",2025-05-04,8,"flu_vic",58,"B Victoria","#F79700"
"All Country",2025-05-04,8,"flu_anot",0,"A not Subtyped","#104f82"
"All Country",2025-05-04,8,"flu_bnot",0,"B not Determined","#9c4b30"
"All Country",2025-05-11,7.88,"flu_ah1",0,"A(H1)","#C9C9C9"
"All Country",2025-05-11,7.88,"flu_ah3",37,"A(H3)","#00A1D5"
"All Country",2025-05-11,7.88,"flu_ah5",0,"A(H5)","#74F907"
"All Country",2025-05-11,7.88,"flu_ah1n12009",31,"A(H1N1)pdm2009","#8FE6E7"
"All Country",2025-05-11,7.88,"flu_byam",0,"B Yamagata","#FFB86D"
"All Country",2025-05-11,7.88,"flu_vic",55,"B Victoria","#F79700"
"All Country",2025-05-11,7.88,"flu_anot",0,"A not Subtyped","#104f82"
"All Country",2025-05-11,7.88,"flu_bnot",2,"B not Determined","#9c4b30"
"All Country",2025-05-18,10.19,"flu_ah1",0,"A(H1)","#C9C9C9"
"All Country",2025-05-18,10.19,"flu_ah3",28,"A(H3)","#00A1D5"
"All Country",2025-05-18,10.19,"flu_ah5",0,"A(H5)","#74F907"
"All Country",2025-05-18,10.19,"flu_ah1n12009",18,"A(H1N1)pdm2009","#8FE6E7"
"All Country",2025-05-18,10.19,"flu_byam",0,"B Yamagata","#FFB86D"
"All Country",2025-05-18,10.19,"flu_vic",55,"B Victoria","#F79700"
"All Country",2025-05-18,10.19,"flu_anot",0,"A not Subtyped","#104f82"
"All Country",2025-05-18,10.19,"flu_bnot",1,"B not Determined","#9c4b30"
"All Country",2025-05-25,14.29,"flu_ah1",0,"A(H1)","#C9C9C9"
"All Country",2025-05-25,14.29,"flu_ah3",14,"A(H3)","#00A1D5"
"All Country",2025-05-25,14.29,"flu_ah5",0,"A(H5)","#74F907"
"All Country",2025-05-25,14.29,"flu_ah1n12009",20,"A(H1N1)pdm2009","#8FE6E7"
"All Country",2025-05-25,14.29,"flu_byam",0,"B Yamagata","#FFB86D"
"All Country",2025-05-25,14.29,"flu_vic",30,"B Victoria","#F79700"
"All Country",2025-05-25,14.29,"flu_anot",10,"A not Subtyped","#104f82"
"All Country",2025-05-25,14.29,"flu_bnot",1,"B not Determined","#9c4b30"
