"reporting_country","clade","date","clade_group"
"Thailand",NA,2023-08-07,"Others"
"Thailand",NA,2023-08-07,"Others"
"Thailand",NA,2023-08-07,"Others"
"Thailand",NA,2023-08-07,"Others"
"Thailand",NA,2023-08-07,"Others"
"Thailand",NA,2023-08-07,"Others"
"Thailand",NA,2023-08-07,"Others"
"Thailand",NA,2023-08-07,"Others"
"Thailand",NA,2023-08-07,"Others"
"Thailand",NA,2023-08-07,"Others"
"Thailand",NA,2023-08-07,"Others"
"Thailand",NA,2023-08-07,"Others"
"Thailand",NA,2023-08-07,"Others"
"Thailand",NA,2023-08-07,"Others"
"Thailand",NA,2023-08-07,"Others"
"Thailand",NA,2023-08-07,"Others"
"Thailand",NA,2023-08-07,"Others"
"Thailand",NA,2023-08-07,"Others"
"Thailand",NA,2023-08-07,"Others"
"Thailand",NA,2023-08-07,"Others"
"Thailand",NA,2023-08-14,"Others"
"Thailand",NA,2023-08-14,"Others"
"Thailand",NA,2023-08-14,"Others"
"Thailand",NA,2023-08-14,"Others"
"Thailand",NA,2023-06-12,"Others"
"Thailand",NA,2023-08-14,"Others"
"Thailand",NA,2023-08-14,"Others"
"Thailand",NA,2023-08-14,"Others"
"Thailand",NA,2023-08-14,"Others"
"Thailand",NA,2023-08-14,"Others"
"Thailand",NA,2023-08-14,"Others"
"Thailand",NA,2023-08-14,"Others"
"Thailand",NA,2023-08-14,"Others"
"Thailand",NA,2023-08-14,"Others"
"Thailand",NA,2023-08-14,"Others"
"Thailand",NA,2023-08-14,"Others"
"Thailand",NA,2023-08-14,"Others"
"Thailand",NA,2023-08-14,"Others"
"Thailand",NA,2023-08-14,"Others"
"Thailand",NA,2023-08-14,"Others"
"Thailand",NA,2023-08-14,"Others"
"Thailand",NA,2023-08-14,"Others"
"Thailand",NA,2023-08-14,"Others"
"Thailand",NA,2023-08-14,"Others"
"Thailand",NA,2023-08-14,"Others"
"Thailand",NA,2023-08-14,"Others"
"Thailand",NA,2023-08-14,"Others"
"Thailand",NA,2023-08-14,"Others"
"Thailand",NA,2023-08-14,"Others"
"Thailand",NA,2023-08-14,"Others"
"Thailand",NA,2023-08-14,"Others"
"Thailand",NA,2023-08-14,"Others"
"Thailand",NA,2023-08-14,"Others"
"Thailand",NA,2023-08-14,"Others"
"Thailand",NA,2023-08-14,"Others"
"Thailand",NA,2023-08-14,"Others"
"Thailand",NA,2023-08-14,"Others"
"Thailand",NA,2023-08-14,"Others"
"Thailand",NA,2023-08-21,"Others"
"Thailand",NA,2023-08-21,"Others"
"Thailand",NA,2023-08-21,"Others"
"Thailand",NA,2023-08-21,"Others"
"Thailand",NA,2023-08-21,"Others"
"Thailand",NA,2023-08-21,"Others"
"Thailand",NA,2023-08-21,"Others"
"Thailand",NA,2023-08-21,"Others"
"Thailand",NA,2023-08-21,"Others"
"Thailand",NA,2023-08-21,"Others"
"Thailand",NA,2023-08-21,"Others"
"Thailand",NA,2023-08-21,"Others"
"Thailand",NA,2023-08-21,"Others"
"Thailand",NA,2023-08-21,"Others"
"Thailand",NA,2023-08-21,"Others"
"Thailand",NA,2023-08-21,"Others"
"Thailand",NA,2023-08-21,"Others"
"Thailand",NA,2023-08-21,"Others"
"Thailand",NA,2023-08-21,"Others"
"Thailand",NA,2023-08-21,"Others"
"Thailand",NA,2023-08-21,"Others"
"Thailand",NA,2023-08-21,"Others"
"Thailand",NA,2023-08-21,"Others"
"Thailand",NA,2023-08-21,"Others"
"Thailand",NA,2023-08-21,"Others"
"Thailand",NA,2023-08-21,"Others"
"Thailand",NA,2023-08-21,"Others"
"Thailand",NA,2023-08-21,"Others"
"Thailand",NA,2023-08-21,"Others"
"Thailand",NA,2023-08-21,"Others"
"Thailand",NA,2023-08-21,"Others"
"Thailand",NA,2023-08-21,"Others"
"Thailand",NA,2023-08-14,"Others"
"Thailand",NA,2023-07-31,"Others"
"Thailand",NA,2023-08-07,"Others"
"Thailand",NA,2023-08-07,"Others"
"Thailand",NA,2023-08-21,"Others"
"Thailand",NA,2023-08-21,"Others"
"Thailand",NA,2023-08-21,"Others"
"Thailand",NA,2023-08-28,"Others"
"Thailand",NA,2023-08-28,"Others"
"Thailand",NA,2023-08-28,"Others"
"Thailand",NA,2023-08-28,"Others"
"Thailand",NA,2023-08-28,"Others"
"Thailand",NA,2023-08-28,"Others"
"Thailand",NA,2023-08-28,"Others"
"Thailand",NA,2023-08-28,"Others"
"Thailand",NA,2023-08-28,"Others"
"Thailand",NA,2023-08-28,"Others"
"Thailand",NA,2023-08-28,"Others"
"Thailand",NA,2023-08-28,"Others"
"Thailand",NA,2023-08-28,"Others"
"Thailand",NA,2023-08-28,"Others"
"Thailand",NA,2023-08-28,"Others"
"Thailand",NA,2023-08-28,"Others"
"Thailand",NA,2023-08-28,"Others"
"Thailand",NA,2023-08-28,"Others"
"Thailand",NA,2023-08-28,"Others"
"Thailand",NA,2023-08-28,"Others"
"Thailand",NA,2023-08-28,"Others"
"Thailand",NA,2023-08-28,"Others"
"Thailand",NA,2023-08-28,"Others"
"Thailand",NA,2023-08-28,"Others"
"Thailand",NA,2023-08-28,"Others"
"Thailand",NA,2023-08-28,"Others"
"Thailand",NA,2023-08-28,"Others"
"Thailand",NA,2023-08-28,"Others"
"Thailand",NA,2023-09-04,"Others"
"Thailand",NA,2023-09-04,"Others"
"Thailand",NA,2023-09-04,"Others"
"Thailand",NA,2023-09-04,"Others"
"Thailand",NA,2023-09-04,"Others"
"Thailand",NA,2023-09-04,"Others"
"Thailand",NA,2023-09-04,"Others"
"Thailand",NA,2023-09-04,"Others"
"Thailand",NA,2023-09-04,"Others"
"Thailand",NA,2023-09-04,"Others"
"Thailand",NA,2023-09-04,"Others"
"Thailand",NA,2023-09-04,"Others"
"Thailand",NA,2023-09-04,"Others"
"Thailand",NA,2023-09-04,"Others"
"Thailand",NA,2023-09-04,"Others"
"Thailand",NA,2023-09-04,"Others"
"Thailand",NA,2023-09-04,"Others"
"Thailand",NA,2023-09-04,"Others"
"Thailand",NA,2023-09-04,"Others"
"Thailand",NA,2023-09-04,"Others"
"Thailand",NA,2023-09-11,"Others"
"Thailand",NA,2023-09-11,"Others"
